ACCT_ID,SERIAL_NBR
3698004417,71781256
2440578496,11341386
2088760193,GE9800295
3818318628,GE9328901
4565772000,GE3621128
6581172000,GE9801674
9464521364,GE3760266
6683182000,GE9812231
10893348,GE3619999
5788983296,SS17526600
1165537593,GE9392075
499072000,GE9796323
5973128703,GE5853796
6523382000,GE9795963
8982282000,61832163
1889182000,7665443
7894872000,28444661
7983224757,GE3645400
9451672000,4898229
266497593,8857494
2855201065,GE8571919
8881536891,GE3833695
7369182000,GE3835318
6951970496,11149375
2200880817,72086125
3940353539,GE3760263
6349072000,1182790
1549043000,UMD02988
848282000,GE3659783
5527082000,GE9814486
9536965113,4095723
8276372000,GE9322567
9045946667,1147855
8447441467,GE9361202
70972000,GE9326786
9551672000,GE9322465
3633472000,GE3876224
1697863442,643445
2496672000,7740842
9017472000,GE3800425
5539372000,GE3644468
8633182000,E26426000000
970772000,GE9812160
2873182000,E61438000000
9016172000,1235992
1058182000,GE9326697
5864182000,GE3758304
7596304171,1942348
127570151,GE3967696
6154382000,GE9312692
1596072000,GE3859132
6117559638,8066627
3704383326,61829775
2413982004,CPA1792854
8358874357,GE9415247
9056672000,GE3760757
7028182000,GE9363664
2490811258,GE9461924
894872000,GE9329092
530738904,GE5838795
3063597242,GE3619820
5989794030,GE9420449
6235350257,SS13165883
4229492095,1235408
9288182000,GE9421399
774526463,GE9814746
2656985339,GE3818068
5263403779,GE9420846
2804110029,5139758
1028164597,SS17715231
9332772000,GE3624831
8757172000,7843097
1100383885,GE9443087
7807672000,57631949
3263996636,D362533
5029072000,23582195
4915972000,56363555
8017424499,1792548
5528672000,GE9387378
6845872000,18678252
9168741363,GE9390356
5902282000,GE9416978
1385172000,GE9765961
313382000,SS13791368
9626736714,GE9356388
5303121232,GE3910333
8565572000,GE3689137
4787756866,GE9387776
1377764067,GE9361762
4535772000,GE9323570
5057769632,1408319
6396804045,GE9352693
5514572000,7687574
3185034179,GE9895494
1869372000,GE9850752
9648172000,GE3910133
8292382000,8264527
6026933569,GE9417954
4671272000,GE9357144
9619072000,664217
6890382000,GE9799004
5832472000,GE3662859
4950972000,GE9363043
4277939125,SS18300477
7579771446,SS18354744
4597994093,56362513
8003272000,UPE71256
2259572000,GE3660117
1884372000,GE3737775
2970149566,1234486
8923803796,11329461
7819872000,E39279000000
3976265004,GE9415085
7949935812,62581778
8385006915,GE9812400
5642182000,GE3859656
5117572000,GE3801195
4399282000,GE9356944
918072000,GE9854559
2014502031,GE3925907
3603506445,4022804
4707572000,GE3733251
9961972000,GE3659445
4699825101,D538255
9492224176,11327731
2565783233,13610470
6212972000,GE9387207
6525484610,GE9323203
9957255417,GE9911946
1502282000,GE9352249
3934182000,10876171
4516787410,GE3800857
716091799,D606454
4188772000,75195733
8881282000,GE3799749
3321607824,GE3660935
9523105581,SS18065741
2977172000,GE9348242
1325993564,1397170
2377572000,72520316
3707872000,GE9787601
1980372000,GE9326884
7760084904,GE9419243
5168282000,GE9814039
294272000,GE3911526
403672000,GE9800838
961498735,GE3644841
8623172000,GE9328699
6925672000,GE3800946
2090872000,12642724
4378772000,GE9363959
4193948540,GE3624923
7574053535,GE9387358
7394182000,E69419000000
8593784195,GE3756621
6889872000,GE9358792
1781282000,GE3800087
4352870271,GE9880926
4713011337,GE3624309
6698190378,GE3912130
6613272000,GE3734304
6215872000,GE3912759
156272000,SS11383280
8201929996,1359404
1582272000,GE3624259
2414109569,8066247
1060772000,GE9358231
7819472000,GE3689062
2578329335,211683
3645082000,GE9416148
3298772000,GE9813248
1630272000,E66769000000
8966182000,GE3925674
3330272000,GE9421864
6554972000,GE9798128
6050972000,GE4241658
1878398019,GE9352664
7153182000,GE3656318
5766072000,56602211
7679172000,GE3925695
6639917045,26581710
91357462,1357949
7439245714,15557821
3192772000,9174056
5746495777,4368718
2112004157,4022896
4135572000,GE9357191
4580066376,11148313
4179601755,GE3969377
3533859161,GE9421320
9303507528,GE9420064
9199272000,56612769
3615372000,GE9321464
7595022776,D537414
9332389632,GE3624099
1084082000,GE3858856
6836172000,GE3659434
6622382000,GE9790548
2573673124,GE9391780
1749572000,10667899
5080025057,GE9418072
1168900125,GE3832929
4323236171,GE9328134
5674799364,GE9445039
9122772000,GE9444006
3458072000,E38780000000
1163135780,GE9461923
2292772000,GE9362721
8538872000,57630135
1754157202,5136060
8157672000,56359559
4891452018,GE9421450
5810788372,GE3758150
7123631862,71781974
2981172000,GE3834887
6478068101,GE3655389
6436182000,GE9387815
178272000,GE9811599
7123060872,71780088
7227664452,GE9814106
5105798913,13525193
8825772000,GE9813766
8800918015,GE9785757
5140282000,GE9321893
5375472000,GE9387874
7791472268,1357947
1674817991,GE3664273
943972000,11329003
1441472000,56604852
9769605934,GE3926464
4284211529,GE8605476
5397437370,3606151
6129595323,1622899
168282000,GE9353340
9105472000,8170587
7663772000,11329672
1774082000,GE9442408
4644372000,7720730
8044555738,GE9443055
2910777266,GE9765652
5438172000,1213975
7048172000,GE9815415
3672540563,3616838
6795427189,GE9352279
4361772769,GE3736231
2184282000,GE9445060
8026182000,GE9366059
1387772000,GE9326915
8300863231,SS10671716
4149943373,1210401
9146172000,GE9362389
8933298414,1235687
4342572000,GE9882156
1838182000,4970427
7067972000,GE9323685
7065665502,1491836
3409272000,GE3621812
4133534220,GE9357737
4570872000,GE9416931
9525099087,GE5838656
6277722297,1235980
5703772000,56612393
2743974740,GE9881934
3802429696,GE3837113
6587182000,1791665
2807543000,8856900
552856778,GE9895300
780472000,GE9322855
1920738614,64965283
5895388017,GE9882551
2004672000,GE9388117
7020382000,7844300
4892255934,13522711
2683272000,GE9766916
7282672000,GE9814184
9722051321,GE9420598
4974110889,GE9784076
4450516683,GE9798179
5705657233,732951
7608072681,GE9783159
5814116559,GE9418245
7780991343,GE9443739
9085082000,SS17884862
3673127301,1234592
1085672000,11377497
1512772000,GE9417897
133182000,E58460000000
8837884600,GE9788501
145000643,212305
4617182000,E71773000000
8707472000,GE9912569
3858572000,GE9352920
7637472000,GE9328659
9672952333,GE9421068
2252644174,SS18236839
9082855820,GE8571922
4174743325,GE3800514
9465282624,13610608
6378772000,GE9365591
2222972000,GE9420565
6289494201,GE9893673
6678472000,GE9848850
5658172000,GE3623994
4992672000,GE9813697
6944572000,GE9785704
6716349060,11328278
7051759930,1358852
1850972000,GE3660256
6609872000,GE9810799
5277172000,57678596
7288672000,SS17855685
9935376376,662693
2909872000,GE9832518
9400910329,4898501
6380027017,U275252
8186572000,E58066000000
8478245602,GE9881626
6916829935,GE9850412
1636411517,1210357
6930827289,57631302
8030972000,GE3661348
2485683154,GE3803274
6482082000,56358367
1881182249,SS12033711
2200009762,GE3622454
4720202950,10878504
5285024145,GE9362678
2291382000,11148692
1996072000,GE9389760
6867306614,GE9327444
6560608746,GE3925032
224555208,GE9418104
5726572000,GE3736763
3781473895,GE9789717
6719082000,SS11382920
5598872000,GE9814267
9212772000,GE3803593
8286672000,GE3687728
622382000,GE9882589
7671808785,1754124
7425872000,GE9813482
6676741751,GE9417454
825262912,GE9414791
8737798727,SS10099377
3563172000,56581933
2452564628,6183703
2534401700,P915883
8124572000,11387007
8517772000,55775038
9955191185,GE9362859
8317082000,RE4214000000
4536373955,SS13693078
9991612460,GE9901331
8066172000,1792970
7441263917,GE9786738
2483968077,GE9698665
919272000,11340543
4127282000,GE9812158
9592272000,E57572000000
3204472000,11330113
1995572000,5662809
2682356400,28863472
2003672000,GE9322031
594873521,D563083
8182182000,GE3912128
4385360154,GE9365506
3634382000,GE9330924
9301572000,GE9389916
3325767206,GE3925222
9813772000,GE9442510
7957968455,GE9789651
6021458265,CPA1794721
2630572000,GE9798544
5720172000,GE9352987
7913873455,GE9463861
1558543130,D625596
3818258461,SS17981349
7826678367,GE9322426
596672000,11326990
5851744475,GE3876093
6586143888,7183706
716504291,GE5853325
6064572000,E50927000000
6887372000,4969339
2739072000,56602327
928672000,3607447
4137543000,UPC39282
1821282000,GE9363613
2640672000,GE9445135
1861082000,GE9352526
8491182000,GE3621440
1050129665,GE3686606
5889428911,381805
6699526484,GE3621331
5907543000,18674435
8847372000,9175574
2329972000,GE9327054
4596726405,D607951
9374065168,GE9755475
452411828,18680411
791825463,GE3688503
9180819965,GE9358832
7839472000,GE9443094
8944972000,55422513
4713872000,1794402
7918497319,GE9327033
6525672000,GE3925623
9728672000,GE3619819
9751776457,GE9321817
2975472000,GE3619670
2522857721,62584240
89072000,GE3835551
3650179377,1235387
802282000,57634979
4500594972,14752845
8119086011,GE9417050
4067082000,GE3800968
8407282000,4369474
1147572000,GE3801701
6589759167,D624886
4213269195,P915327
9782949189,72519722
6299002613,GE9881119
2371720271,GE9895473
41972000,SS17722448
1373972000,GE3684951
4870252009,GE2313731
4904867824,GE9390942
4761672000,GE9363605
583547741,GE3801819
9194182000,GE9388529
1885972000,GE9698773
7680630199,D664967
6985182000,GE9352603
5739182000,GE9796110
7536572000,GE9357955
1272472000,GE9810856
4786272000,GE9784150
9788141954,5258384
3870772000,GE9784559
7784172000,GE9849180
4876372000,GE9813552
5574536935,1339895
8188772000,GE9833054
6625372000,12643339
2914063514,GE9911274
8144972000,GE9417029
8575282000,GE3689104
7355372000,E33271000000
5512382000,GE9443238
5550901033,Y0565266
